file_name,text
15562.png,"bar|quantitative|Loss(as % of annual sales)|temporal|Year"
4907.png,"circle|temporal|Year|quantitative|Volume(million ton-km)"
16241.png,"bar|quantitative|Cereal Production (hectares)|temporal|Year"
4996.png,"circle|temporal|Year|quantitative|Time (in hours)"
16804.png,"bar|quantitative|Full-time male workers(% of males employed)|nominal|Country"
31881.png,"bar|temporal|Year|quantitative|% of reported infant deaths to estimated infant deaths"
15334.png,"bar|quantitative|Land (in sq. km)|temporal|Year"
21675.png,"line|temporal|Year|quantitative|Total debt (in current US$)"
4514.png,"circle|temporal|Year|quantitative|Unemployed Males (% of male labor force)"
15196.png,"bar|quantitative|Exports (% of total merchandise exports)|temporal|Year"
21883.png,"line|temporal|Year|quantitative|Time spent(% of senior management time)"
16451.png,"bar|quantitative|Investment (in US$)|temporal|Year"
22283.png,"line|temporal|Year|quantitative|Area of land (in hectares)"
15138.png,"bar|quantitative|Population(% of urban population)|nominal|Country"
33368.png,"bar|nominal|Country|quantitative|Population(% of urban population)"
22087.png,"line|temporal|Year|quantitative|Tuberculosis incidents (per 100,000 people)"
22122.png,"line|temporal|Year|quantitative|Number of tax payers"
15999.png,"bar|quantitative|Resource allocation index (1=low 6=high)|nominal|Country"
5525.png,"circle|temporal|Year|quantitative|Population(% of urban population)"
32395.png,"bar|nominal|Country|quantitative|Percentage of enrolment in primary education (%)"
22312.png,"line|temporal|Year|quantitative|Children(% of under-5 population)"
32524.png,"bar|temporal|Year|quantitative|% of reported total deaths to estimated total deaths"
33016.png,"bar|nominal|Country|quantitative|Unemployed laborers (% of total labor force)"
33551.png,"bar|temporal|Year|quantitative|Area of land (hectares per person)"
15715.png,"bar|quantitative|Value (as % of sales)|temporal|Year"
15375.png,"bar|quantitative|Number of tax payers|temporal|Year"
32882.png,"bar|temporal|Year|quantitative|% of poverty lines"
33407.png,"bar|nominal|Country|quantitative|Net GHG emissions or removals (Mt of CO2 equivalent)"
32992.png,"bar|temporal|Year|quantitative|Primary income (current US$)"
31894.png,"bar|temporal|Year|quantitative|Debt(current US$)"
4754.png,"circle|temporal|Year|quantitative|Insurance services (% of service imports)"
16294.png,"bar|quantitative|Number of total applications|temporal|Year"
15274.png,"bar|quantitative|Unemployed population (as % of total labor force ages 15-24)|nominal|Country"
5316.png,"circle|temporal|Year|quantitative|% of households"
32553.png,"bar|temporal|Year|quantitative|Survival rate(%)"
16713.png,"bar|quantitative|Success rate(as % of new cases)|nominal|Country"
21599.png,"line|temporal|Year|quantitative|Time (in hours)"
32949.png,"bar|nominal|Country|quantitative|Unemployment (% of total unemployment)"
16272.png,"bar|quantitative|Value added (constant Local Currency Unit)|nominal|Country"
21857.png,"line|temporal|Year|quantitative|Unemployment (% of total unemployment)"
32610.png,"bar|nominal|Country|quantitative|Cost(current US$)"
21461.png,"line|temporal|Year|quantitative|Proportion of dependents per 100 working-age population"
16316.png,"bar|quantitative|Amount of energy used(kg of oil equivalent per capita)|temporal|Year"
15802.png,"bar|quantitative|Value added (constant Local Currency Unit)|nominal|Country"
5473.png,"circle|temporal|Year|quantitative|Agriculture value added per worker (constant 2005 US$)"
16245.png,"bar|quantitative|Number of years|temporal|Year"
31870.png,"bar|temporal|Year|quantitative|% of male youth population"
22392.png,"line|temporal|Year|quantitative|Unemployed population (as % of total labor force)"
31883.png,"bar|temporal|Year|quantitative|Domestic credit (% of GDP)"
32343.png,"bar|temporal|Year|quantitative|Female Labor Force(as % of total labor force)"
4458.png,"circle|temporal|Year|quantitative|Insurance services (% of commercial service imports)"
4689.png,"circle|temporal|Year|quantitative|Value (as % of sales)"
4936.png,"circle|temporal|Year|quantitative|Amount (in current US$)"
33562.png,"bar|temporal|Year|quantitative|Number of tax payers"
32091.png,"bar|temporal|Year|quantitative|Rating index(maximum value in 2004 = 100)"
33299.png,"bar|nominal|Country|quantitative|Number of neonatal deaths"
21707.png,"line|temporal|Year|quantitative|Vulnerable female employment (% of total female employment)"
33527.png,"bar|temporal|Year|quantitative|Percentage of enrolment in primary education (%)"
33654.png,"bar|nominal|Country|quantitative|Coverage(% of people living with HIV)"
4988.png,"circle|temporal|Year|quantitative|Total Vulnerable employment (% of total employment)"
15757.png,"bar|quantitative|Imports (% of total merchandise imports)|nominal|Country"
21986.png,"line|temporal|Year|quantitative|Trained Teachers (% of total teachers)"
21924.png,"line|temporal|Year|quantitative|Tuberculosis incidents (per 100,000 people)"
16813.png,"bar|quantitative|% of reported infant deaths to estimated infant deaths|temporal|Year"
16309.png,"bar|quantitative|Amount of energy used(kg of oil equivalent per capita)|temporal|Year"
16480.png,"bar|quantitative|Birth Registration (in %)|temporal|Year"
32781.png,"bar|nominal|Country|quantitative|% of women justifying domestic violence"
5457.png,"circle|temporal|Year|quantitative|Teachers, male (%)"
15379.png,"bar|quantitative|Agriculture value added per worker (constant 2005 US$)|temporal|Year"
33481.png,"bar|temporal|Year|quantitative|Teachers, female (%)"
33512.png,"bar|temporal|Year|quantitative|Electric power consumption (kWh per capita)"
32853.png,"bar|temporal|Year|quantitative|Calories (kilocalories per person per day)"
33214.png,"bar|nominal|Country|quantitative|Amount of energy used(kg of oil equivalent per capita)"
16821.png,"bar|quantitative|% of youth population|temporal|Year"
22281.png,"line|temporal|Year|quantitative|Amount (in current US$)"
16677.png,"bar|quantitative|% of fertilizer production|nominal|Country"
32112.png,"bar|nominal|Country|quantitative|Number of registrations"
15157.png,"bar|quantitative|Net Energy imports(% of energy use)|nominal|Country"
4472.png,"circle|temporal|Year|quantitative|Investment (in US$)"
4663.png,"circle|temporal|Year|quantitative|Consumption of fixed capital (as % of GNI)"
22214.png,"line|temporal|Year|quantitative|Losses(% of output)"
16540.png,"bar|quantitative|Unemployed females(% of female labor force ages 15-24)|temporal|Year"
22199.png,"line|temporal|Year|quantitative|Population in poverty (% of rural population)"
5532.png,"circle|temporal|Year|quantitative|Emissions(metric tons per capita)"
21827.png,"line|temporal|Year|quantitative|Total subscribers"
16165.png,"bar|quantitative|Average precipitation (mm )|nominal|Country"
16240.png,"bar|quantitative|Unemployed laborers (% of total labor force)|temporal|Year"
33240.png,"bar|nominal|Country|quantitative|Amount (in current US$)"
4758.png,"circle|temporal|Year|quantitative|Number of total applications"
5521.png,"circle|temporal|Year|quantitative|Birth Registration (in %)"
15790.png,"bar|quantitative|Population(%)|temporal|Year"
31906.png,"bar|temporal|Year|quantitative|Unemployed females (as % of female labor force ages 15-24)"
33056.png,"bar|temporal|Year|quantitative|Discrepancy in expenditure estimate of GDP (current LCU)"
32400.png,"bar|nominal|Country|quantitative|Population(%)"
21758.png,"line|temporal|Year|quantitative|Rating (1=underdeveloped to 7=well developed) "
21869.png,"line|temporal|Year|quantitative|Agriculture value added per worker (constant 2005 US$)"
15356.png,"bar|quantitative|% of repeaters|temporal|Year"
22011.png,"line|temporal|Year|quantitative|% of births"
16407.png,"bar|quantitative|Rating index(maximum value in 2004 = 100)|nominal|Country"
31774.png,"bar|nominal|Country|quantitative|Cost(current US$)"
33311.png,"bar|temporal|Year|quantitative|Price level ratio"
16193.png,"bar|quantitative|Cereal Production (hectares)|nominal|Country"
32519.png,"bar|nominal|Country|quantitative|% of children in employment"
32852.png,"bar|temporal|Year|quantitative|International Reserves (current US$)"
4519.png,"circle|temporal|Year|quantitative|Total debt (in current US$)"
15951.png,"bar|quantitative|Part-time female workers(% of females employed)|nominal|Country"
33313.png,"bar|temporal|Year|quantitative|Population in poverty (% of rural population)"
15854.png,"bar|quantitative|Number of children|temporal|Year"
4620.png,"circle|temporal|Year|quantitative|Number of total applications"
31916.png,"bar|temporal|Year|quantitative|Percentage of repeaters (%)"
16525.png,"bar|quantitative|Area of land (hectares per person)|nominal|Country"
33052.png,"bar|temporal|Year|quantitative|% of women ages 15-49"
21871.png,"line|temporal|Year|quantitative|Agriculture value added per worker (constant 2005 US$)"
16770.png,"bar|quantitative|Yield kg per hectare|nominal|Country"
32213.png,"bar|nominal|Country|quantitative|Unemployment (% of male unemployment)"
32523.png,"bar|nominal|Country|quantitative|Teachers, female (%)"
15733.png,"bar|quantitative|Land (in sq. km)|temporal|Year"
21539.png,"line|temporal|Year|quantitative|Value added (constant Local Currency Unit)"
31892.png,"bar|temporal|Year|quantitative|Personal remittance (current US$)"
21459.png,"line|temporal|Year|quantitative|Number of anaemic children (in %)"
21434.png,"line|temporal|Year|quantitative|Amount (in current US$)"
33458.png,"bar|nominal|Country|quantitative|Cost(current US$)"
31902.png,"bar|temporal|Year|quantitative|Imports (% of total merchandise imports)"
33150.png,"bar|nominal|Country|quantitative|Emissions(metric tons per capita)"
16000.png,"bar|quantitative|Unemployment (% of female unemployment)|nominal|Country"
16339.png,"bar|quantitative|Per cubic meter of total freshwater withdrawal(constant 2005 US$ GDP)|temporal|Year"
21501.png,"line|temporal|Year|quantitative|Information index(0=low to 8=high)"
21713.png,"line|temporal|Year|quantitative|Unemployed females(% of female labor force ages 15-24)"
15889.png,"bar|quantitative|Unemployment (% of total unemployment)|temporal|Year"
15193.png,"bar|quantitative|Number of meetings(average for affected firms)|nominal|Country"
4528.png,"circle|temporal|Year|quantitative|Expenditure (as % of GNI)"
15754.png,"bar|quantitative|Expenditure (as % of GNI)|temporal|Year"
22233.png,"line|temporal|Year|quantitative|Number of days"
16182.png,"bar|quantitative|Population(% of urban population)|temporal|Year"
15056.png,"bar|quantitative|Amount of exports(% of total goods exports)|nominal|Country"
4602.png,"circle|temporal|Year|quantitative|Per cubic meter of total freshwater withdrawal(constant 2005 US$ GDP)"
16246.png,"bar|quantitative|Literacy rate(%)|nominal|Country"
15444.png,"bar|quantitative|Unemployment (% of female unemployment)|nominal|Country"
33649.png,"bar|temporal|Year|quantitative|% of reported total deaths to estimated total deaths"
16519.png,"bar|quantitative|Debt(current US$)|nominal|Country"
5554.png,"circle|temporal|Year|quantitative|Population(%)"
33371.png,"bar|temporal|Year|quantitative|Part-time female workers(% of females employed)"
32677.png,"bar|temporal|Year|quantitative|Consumption of fixed capital (as % of GNI)"
5437.png,"circle|temporal|Year|quantitative|Personal remittance (current US$)"
22161.png,"line|temporal|Year|quantitative|Unemployed population (as % of total labor force)"
33503.png,"bar|nominal|Country|quantitative|Consumption of fixed capital (as % of GNI)"
32752.png,"bar|nominal|Country|quantitative|Unemployment (% of male unemployment)"
5165.png,"circle|temporal|Year|quantitative|Amount of exports(% of total goods exports)"
32672.png,"bar|temporal|Year|quantitative|Proportion of dependents per 100 working-age population"
4656.png,"circle|temporal|Year|quantitative|% of firms"
16469.png,"bar|quantitative|Debt(% of exports of goods, services and primary income)|temporal|Year"
21708.png,"line|temporal|Year|quantitative|% of total agricultural land"
33574.png,"bar|temporal|Year|quantitative|Number of procedures to build a warehouse"
21562.png,"line|temporal|Year|quantitative|Unemployed females(% of female labor force ages 15-24)"
21437.png,"line|temporal|Year|quantitative|Unemployed females(% of female labor force ages 15-24)"
32758.png,"bar|nominal|Country|quantitative| Unmet need for contraception(% of married women ages 15-49)"
32443.png,"bar|temporal|Year|quantitative|Internet users (% of population)"
4592.png,"circle|temporal|Year|quantitative|Rating index(maximum value in 2004 = 100)"
33118.png,"bar|temporal|Year|quantitative|% of reported infant deaths to estimated infant deaths"
32887.png,"bar|temporal|Year|quantitative|Birth Registration (in %)"
33254.png,"bar|temporal|Year|quantitative|Total subscribers (per 100 people)"
32627.png,"bar|temporal|Year|quantitative|Number of nurses and midwives (per 1000 people)"
16654.png,"bar|quantitative|% of total population|nominal|Country"
31919.png,"bar|temporal|Year|quantitative|Land (in sq. km)"
22132.png,"line|temporal|Year|quantitative|Discrepancy in expenditure estimate of GDP (constant LCU)"
16458.png,"bar|quantitative|Losses(% of output)|temporal|Year"
32517.png,"bar|temporal|Year|quantitative|Debt(current US$)"
32715.png,"bar|nominal|Country|quantitative|Cost(current US$)"
15035.png,"bar|quantitative|Total reserves (current US$)|nominal|Country"
21961.png,"line|temporal|Year|quantitative|Number of days"
21407.png,"line|temporal|Year|quantitative|Annual freshwater withdrawals (% of internal resources)"
15219.png,"bar|quantitative|Energy consumed(% of total)|temporal|Year"
16614.png,"bar|quantitative|Elevated land area (as % of total land area)|temporal|Year"
4591.png,"circle|temporal|Year|quantitative|Domestic credit (% of GDP)"
4900.png,"circle|temporal|Year|quantitative|Current account balance (current US$)"
16664.png,"bar|quantitative|new registrations per 1,000 people ages 15-64|temporal|Year"
32254.png,"bar|temporal|Year|quantitative|Ratio(expressed as %)"
22172.png,"line|temporal|Year|quantitative|Energy consumed(% of total)"
4466.png,"circle|temporal|Year|quantitative|Unemployed males (as % of male labor force ages 15-24)"
15580.png,"bar|quantitative|Literacy rate(%)|temporal|Year"
16184.png,"bar|quantitative|Amount of stocks(% of population)|nominal|Country"
16287.png,"bar|quantitative|Investment (in US$)|temporal|Year"
21998.png,"line|temporal|Year|quantitative|% of households"
15624.png,"bar|quantitative|Unemployed females (as % of female labor force)|nominal|Country"
32106.png,"bar|temporal|Year|quantitative|Cost(current US$)"
15099.png,"bar|quantitative|Exports (% of total merchandise exports)|temporal|Year"
15287.png,"bar|quantitative|Unemployed Males (% of male labor force)|temporal|Year"
4743.png,"circle|temporal|Year|quantitative|% of total population"
21291.png,"line|temporal|Year|quantitative|Calories (kilocalories per person per day)"
15703.png,"bar|quantitative|Survival Rate(%)|temporal|Year"
4612.png,"circle|temporal|Year|quantitative|Unemployed population (as % of total labor force ages 15-24)"
15146.png,"bar|quantitative|Trained Teachers (% of total teachers)|nominal|Country"
4731.png,"circle|temporal|Year|quantitative|Amount of imports(% of total goods imports)"
5039.png,"circle|temporal|Year|quantitative|Volume(million ton-km)"
33099.png,"bar|nominal|Country|quantitative|Full-time male workers(% of males employed)"
22266.png,"line|temporal|Year|quantitative|Current account balance (% of GDP)"
15097.png,"bar|quantitative|Children(% of children ages 6-59 months)|nominal|Country"
32037.png,"bar|nominal|Country|quantitative|Losses(% of output)"
16149.png,"bar|quantitative|Debt(% of exports of goods, services and primary income)|temporal|Year"
33306.png,"bar|nominal|Country|quantitative|Time spent(% of senior management time)"
21569.png,"line|temporal|Year|quantitative|Success rate(as % of new cases)"
21831.png,"line|temporal|Year|quantitative|Investment (in US$)"
22211.png,"line|temporal|Year|quantitative|% of fertilizer production"
15341.png,"bar|quantitative|Exports (% of total merchandise exports)|nominal|Country"
16164.png,"bar|quantitative| Unmet need for contraception(% of married women ages 15-49)|temporal|Year"
32365.png,"bar|temporal|Year|quantitative|IMF credit(in current US$)"
15814.png,"bar|quantitative|% of poverty lines|nominal|Country"
33275.png,"bar|temporal|Year|quantitative|Number of workers (per 1,000 people)"
21657.png,"line|temporal|Year|quantitative|Number of tax payers"
22272.png,"line|temporal|Year|quantitative|Armed forces personnel"
4941.png,"circle|temporal|Year|quantitative|Unemployed females (as % of female labor force ages 15-24)"
5057.png,"circle|temporal|Year|quantitative|Aid flow from DAC donars (current US$)"
15181.png,"bar|quantitative|Cost of computers, communications and other services (% of commerical service exports)|nominal|Country"
5240.png,"circle|temporal|Year|quantitative|Value added (constant Local Currency Unit)"
16671.png,"bar|quantitative|Enrollment rate (%)|nominal|Country"
32931.png,"bar|nominal|Country|quantitative|% of children under 5 taken to a health provider"
4515.png,"circle|temporal|Year|quantitative|Internet users (% of population)"
33569.png,"bar|temporal|Year|quantitative|Annual freshwater withdrawals (% of internal resources)"
21682.png,"line|temporal|Year|quantitative|Number of passengers carried"
4668.png,"circle|temporal|Year|quantitative|Imports (% of GDP)"
16128.png,"bar|quantitative| Unmet need for contraception(% of married women ages 15-49)|temporal|Year"
5314.png,"circle|temporal|Year|quantitative|Number of days"
22397.png,"line|temporal|Year|quantitative|% of poverty lines"
15535.png,"bar|quantitative|Unemployed population (as % of total labor force)|nominal|Country"
15089.png,"bar|quantitative|Personal remittance (current US$)|nominal|Country"
22175.png,"line|temporal|Year|quantitative|Net Energy imports(% of energy use)"
15653.png,"bar|quantitative|Population growth (in %)|nominal|Country"
5034.png,"circle|temporal|Year|quantitative|Loss(as % of annual sales)"
4969.png,"circle|temporal|Year|quantitative|Children(% of under-5 population)"
32801.png,"bar|nominal|Country|quantitative|Number of neonatal deaths"
5140.png,"circle|temporal|Year|quantitative|Total Vulnerable employment (% of total employment)"
5474.png,"circle|temporal|Year|quantitative|Total Vulnerable employment (% of total employment)"
16009.png,"bar|quantitative|Clean energy produced (as % of total energy)|temporal|Year"
21947.png,"line|temporal|Year|quantitative|Total subscribers"
15456.png,"bar|quantitative|Intensity (kg per kg of oil equivalent energy use)|temporal|Year"
16753.png,"bar|quantitative|% of children in employment|temporal|Year"
22042.png,"line|temporal|Year|quantitative|Value added (constant Local Currency Unit)"
5235.png,"circle|temporal|Year|quantitative|% of youth population"
33594.png,"bar|temporal|Year|quantitative|Land (in sq. km)"
22053.png,"line|temporal|Year|quantitative|Population in poverty (% of total population)"
4781.png,"circle|temporal|Year|quantitative| Unmet need for contraception(% of married women ages 15-49)"
4911.png,"circle|temporal|Year|quantitative|Primary income (current US$)"
21456.png,"line|temporal|Year|quantitative|Twenty- foot Equivalent Units(TEU)"
15488.png,"bar|quantitative|Unemployed females(% of female labor force ages 15-24)|nominal|Country"
32984.png,"bar|nominal|Country|quantitative|Unemployment (% of male unemployment)"
32076.png,"bar|temporal|Year|quantitative|% of children under 5 taken to a health provider"
16256.png,"bar|quantitative|Full-time workers(% of total employed)|temporal|Year"
15017.png,"bar|quantitative|% of total agricultural land|temporal|Year"
33534.png,"bar|temporal|Year|quantitative|Debt(% of exports of goods, services and primary income)"
15643.png,"bar|quantitative|Expenditure (as % of GNI)|temporal|Year"
21944.png,"line|temporal|Year|quantitative|Children(% of children ages 6-59 months)"
16124.png,"bar|quantitative|Expenditure (as % of GDP per capita)|temporal|Year"
32776.png,"bar|nominal|Country|quantitative|Imports (% of total merchandise imports)"
16718.png,"bar|quantitative|Discrepancy in expenditure estimate of GDP (current LCU)|nominal|Country"
21505.png,"line|temporal|Year|quantitative|Amount of money (in US$)"
32925.png,"bar|temporal|Year|quantitative|Investment (in US$)"
32587.png,"bar|temporal|Year|quantitative|Unemployed total(% of total labor force ages 15-24)"
31923.png,"bar|nominal|Country|quantitative|Total reserves (current US$)"
4979.png,"circle|temporal|Year|quantitative| Unmet need for contraception(% of married women ages 15-49)"
5147.png,"circle|temporal|Year|quantitative|Value added (current Local Currency Unit)"
32034.png,"bar|temporal|Year|quantitative|Imports (% of GDP)"
4485.png,"circle|temporal|Year|quantitative|Yield kg per hectare"
15542.png,"bar|quantitative|Number of workers (per 1,000 people)|temporal|Year"
4973.png,"circle|temporal|Year|quantitative|Number of total applications"
16175.png,"bar|quantitative|Amount (in current US$)|nominal|Country"
5061.png,"circle|temporal|Year|quantitative|Emissions(metric tons per capita)"
16768.png,"bar|quantitative|Imports (% of GDP)|temporal|Year"
33102.png,"bar|temporal|Year|quantitative|Number of procedures to build a warehouse"
22038.png,"line|temporal|Year|quantitative|Cost (as % of GNI)"
16859.png,"bar|quantitative|Cost of computers, communications and other services (% of commerical service exports)|temporal|Year"
33463.png,"bar|nominal|Country|quantitative|Amount (in current US$)"
33208.png,"bar|temporal|Year|quantitative|Teachers, male (%)"
16099.png,"bar|quantitative|Unemployed females (as % of female labor force ages 15-24)|temporal|Year"
33639.png,"bar|temporal|Year|quantitative|Unemployed females(% of female labor force ages 15-24)"
21852.png,"line|temporal|Year|quantitative|Time spent(% of senior management time)"
22170.png,"line|temporal|Year|quantitative|% of women justifying domestic violence"
33234.png,"bar|temporal|Year|quantitative|Time (in hours)"
33289.png,"bar|nominal|Country|quantitative|Children(% of under-5 population)"
15131.png,"bar|quantitative|Earning from trade(% of GDP)|nominal|Country"
33084.png,"bar|temporal|Year|quantitative|Average number of days"
32575.png,"bar|nominal|Country|quantitative|Armed forces personnel"
15798.png,"bar|quantitative|Births attended by skilled health staff (% of total births)|temporal|Year"
15468.png,"bar|quantitative|Unemployment (% of total unemployment)|nominal|Country"
16361.png,"bar|quantitative|Unemployment (% of male unemployment)|nominal|Country"
22327.png,"line|temporal|Year|quantitative|Unemployed males (as % of male labor force ages 15-24)"
33139.png,"bar|nominal|Country|quantitative|% of female youth population"
16686.png,"bar|quantitative|% of children in employment|temporal|Year"
15307.png,"bar|quantitative|Rating (1=extremely inefficient to 7=extremely efficient)|temporal|Year"
32556.png,"bar|temporal|Year|quantitative|% of reported infant deaths to estimated infant deaths"
4674.png,"circle|temporal|Year|quantitative|Land (in sq. km)"
16159.png,"bar|quantitative|Amount of total stocks|temporal|Year"
4634.png,"circle|temporal|Year|quantitative|Discrepancy in expenditure estimate of GDP (current LCU)"
5412.png,"circle|temporal|Year|quantitative|Score (0=lowest to 100=highest performance)"
5126.png,"circle|temporal|Year|quantitative|% of youth population"
16312.png,"bar|quantitative|Unemployed males(% of male labor force ages 15-24)|nominal|Country"
32476.png,"bar|temporal|Year|quantitative|Number of children"
16076.png,"bar|quantitative|Part-time male workers(% of males employed)|nominal|Country"
15057.png,"bar|quantitative|Expenditure (as % of GDP per capita)|temporal|Year"
21723.png,"line|temporal|Year|quantitative|Official exchange rate (LCU per US$ period average)"
16313.png,"bar|quantitative|Women receiving prenatal care (%)|temporal|Year"
5141.png,"circle|temporal|Year|quantitative|% of fertilizer production"
4536.png,"circle|temporal|Year|quantitative|% of children under 5 taken to a health provider"
33333.png,"bar|temporal|Year|quantitative|Time (in hours)"
21590.png,"line|temporal|Year|quantitative|Insurance services (% of commercial service imports)"
4694.png,"circle|temporal|Year|quantitative|% of children in employment"
15939.png,"bar|quantitative|Exports (% of total merchandise exports)|nominal|Country"
31941.png,"bar|temporal|Year|quantitative|Number of tractors"
15059.png,"bar|quantitative|Amount (in $)|nominal|Country"
4836.png,"circle|temporal|Year|quantitative|Aid flow (current US$)"
21318.png,"line|temporal|Year|quantitative|Children(% of under-5 population)"
32150.png,"bar|temporal|Year|quantitative|Unemployed females (as % of female labor force)"
5300.png,"circle|temporal|Year|quantitative|Average precipitation (mm )"
33104.png,"bar|nominal|Country|quantitative|Full-time workers(% of total employed)"
32658.png,"bar|temporal|Year|quantitative|Literacy rate(%)"
32290.png,"bar|temporal|Year|quantitative|Success rate(as % of new cases)"
21913.png,"line|temporal|Year|quantitative|Clean energy produced (as % of total energy)"
31808.png,"bar|temporal|Year|quantitative|Insurance services (% of commercial service imports)"
32099.png,"bar|temporal|Year|quantitative|Female Labor Force(as % of total labor force)"
21637.png,"line|temporal|Year|quantitative|Official exchange rate (LCU per US$ period average)"
15778.png,"bar|quantitative|Amount spent (in $)|nominal|Country"
15349.png,"bar|quantitative|Unemployed males (as % of male labor force ages 15-24)|temporal|Year"
32423.png,"bar|nominal|Country|quantitative|Enrollment rate (%)"
33356.png,"bar|temporal|Year|quantitative|Number of power outages"
32382.png,"bar|temporal|Year|quantitative|Debt in Euros(%)"
31956.png,"bar|temporal|Year|quantitative|% of fertilizer production"
5468.png,"circle|temporal|Year|quantitative|Number of passengers carried"
21846.png,"line|temporal|Year|quantitative|% of repeaters"
33160.png,"bar|temporal|Year|quantitative|Total reserves (current US$)"
15787.png,"bar|quantitative|Domestic credit (% of GDP)|temporal|Year"
15029.png,"bar|quantitative|Population in poverty (% of rural population)|temporal|Year"
22331.png,"line|temporal|Year|quantitative|Twenty- foot Equivalent Units(TEU)"
15828.png,"bar|quantitative|Literacy rate(%)|temporal|Year"
16006.png,"bar|quantitative|Unemployed laborers (% of total labor force)|temporal|Year"
31797.png,"bar|temporal|Year|quantitative|Annual freshwater withdrawals (billion cubic meters)"
15498.png,"bar|quantitative|Discrepancy in expenditure estimate of GDP (constant LCU)|nominal|Country"
32176.png,"bar|temporal|Year|quantitative|Population growth (in %)"
21667.png,"line|temporal|Year|quantitative|% of women ages 15-49"
33059.png,"bar|temporal|Year|quantitative|Score (0=lowest to 100=highest performance)"
32803.png,"bar|temporal|Year|quantitative|Labor Force (as % of population)"
21579.png,"line|temporal|Year|quantitative|Part-time workers(% of total employed)"
15159.png,"bar|quantitative|Number of tractors|nominal|Country"
15155.png,"bar|quantitative|Unemployed population (as % of total labor force)|nominal|Country"
32699.png,"bar|nominal|Country|quantitative|Imports (% of total merchandise imports)"
32597.png,"bar|nominal|Country|quantitative|Population(%)"
4759.png,"circle|temporal|Year|quantitative|Unemployed females (as % of female labor force ages 15-24)"
16729.png,"bar|quantitative|Number of flight takeoffs|temporal|Year"
22135.png,"line|temporal|Year|quantitative|Total reserves (current US$)"
4760.png,"circle|temporal|Year|quantitative|Teachers, female (%)"
4904.png,"circle|temporal|Year|quantitative|Net ODA received per capita (current US$)"
16301.png,"bar|quantitative|Number of passengers carried|nominal|Country"
4567.png,"circle|temporal|Year|quantitative|Number of years"
5131.png,"circle|temporal|Year|quantitative|Teachers, male (%)"
5145.png,"circle|temporal|Year|quantitative|Total subscribers"
5118.png,"circle|temporal|Year|quantitative|% of fertilizer production"
16454.png,"bar|quantitative|Amount (in current US$)|nominal|Country"
15974.png,"bar|quantitative|Number of servers(per 1 million people)|nominal|Country"
5090.png,"circle|temporal|Year|quantitative|% of households"
5116.png,"circle|temporal|Year|quantitative|% of youth population"
21881.png,"line|temporal|Year|quantitative|Part-time male workers(% of males employed)"
33616.png,"bar|temporal|Year|quantitative|Workers(% of females employed)"
5536.png,"circle|temporal|Year|quantitative|% of fertilizer production"
15530.png,"bar|quantitative|new registrations per 1,000 people ages 15-64|temporal|Year"
22306.png,"line|temporal|Year|quantitative|Ratio(expressed as %)"
15919.png,"bar|quantitative|Payments(% of exports of goods, services and primary income)|temporal|Year"
32073.png,"bar|temporal|Year|quantitative|Debt in Euros(%)"
21980.png,"line|temporal|Year|quantitative|% of households with a female head"
15700.png,"bar|quantitative|Number of registrations|nominal|Country"
